SnapshotDate,SnapshotDateTime,OutletName,Address,Suburb,Postcode,State,RegionID,Longitude,Latitude,OutletBrandCode,FuelBrandCode,OutletID,OutletIdentifier,IsOutletActive,HasValidCoordinates,Diesel_Today_CPL,Diesel_Today_DollarPerLitre,PremiumDiesel_Today_CPL,PremiumDiesel_Today_DollarPerLitre,Biodiesel20_Today_CPL,Biodiesel20_Today_DollarPerLitre,Unleaded91_Today_CPL,Unleaded91_Today_DollarPerLitre,LowAromaticFuel_Today_CPL,LowAromaticFuel_Today_DollarPerLitre,Premium95_Today_CPL,Premium95_Today_DollarPerLitre,Premium98_Today_CPL,Premium98_Today_DollarPerLitre,E10_Today_CPL,E10_Today_DollarPerLitre,E85_Today_CPL,E85_Today_DollarPerLitre,LPG_Today_CPL,LPG_Today_DollarPerLitre,EquivalentUnleaded_Today_CPL,EquivalentUnleaded_Today_DollarPerLitre,AllDiesel_Today_CPL,AllDiesel_Today_DollarPerLitre,Diesel_Tomorrow_CPL,Diesel_Tomorrow_DollarPerLitre,PremiumDiesel_Tomorrow_CPL,PremiumDiesel_Tomorrow_DollarPerLitre,Biodiesel20_Tomorrow_CPL,Biodiesel20_Tomorrow_DollarPerLitre,Unleaded91_Tomorrow_CPL,Unleaded91_Tomorrow_DollarPerLitre,LowAromaticFuel_Tomorrow_CPL,LowAromaticFuel_Tomorrow_DollarPerLitre,Premium95_Tomorrow_CPL,Premium95_Tomorrow_DollarPerLitre,Premium98_Tomorrow_CPL,Premium98_Tomorrow_DollarPerLitre,E10_Tomorrow_CPL,E10_Tomorrow_DollarPerLitre,E85_Tomorrow_CPL,E85_Tomorrow_DollarPerLitre,LPG_Tomorrow_CPL,LPG_Tomorrow_DollarPerLitre,EquivalentUnleaded_Tomorrow_CPL,EquivalentUnleaded_Tomorrow_DollarPerLitre,AllDiesel_Tomorrow_CPL,AllDiesel_Tomorrow_DollarPerLitre,Diesel_IsAvailableToday,Diesel_IsAvailableTomorrow,PremiumDiesel_IsAvailableToday,PremiumDiesel_IsAvailableTomorrow,Biodiesel20_IsAvailableToday,Biodiesel20_IsAvailableTomorrow,Unleaded91_IsAvailableToday,Unleaded91_IsAvailableTomorrow,LowAromaticFuel_IsAvailableToday,LowAromaticFuel_IsAvailableTomorrow,Premium95_IsAvailableToday,Premium95_IsAvailableTomorrow,Premium98_IsAvailableToday,Premium98_IsAvailableTomorrow,E10_IsAvailableToday,E10_IsAvailableTomorrow,E85_IsAvailableToday,E85_IsAvailableTomorrow,LPG_IsAvailableToday,LPG_IsAvailableTomorrow,EquivalentUnleaded_IsAvailableToday,EquivalentUnleaded_IsAvailableTomorrow,AllDiesel_IsAvailableToday,AllDiesel_IsAvailableTomorrow,ListedFuelCount,AvailableFuelCount,FuelCodesListed,FuelCodesAvailable,CheapestFuelCode,CheapestFuelType,CheapestTodayPriceCPL,CheapestTodayPriceDollarPerLitre,Diesel_RawToday_CPL,Diesel_RawTomorrow_CPL,PremiumDiesel_RawToday_CPL,PremiumDiesel_RawTomorrow_CPL,Biodiesel20_RawToday_CPL,Biodiesel20_RawTomorrow_CPL,Unleaded91_RawToday_CPL,Unleaded91_RawTomorrow_CPL,LowAromaticFuel_RawToday_CPL,LowAromaticFuel_RawTomorrow_CPL,Premium95_RawToday_CPL,Premium95_RawTomorrow_CPL,Premium98_RawToday_CPL,Premium98_RawTomorrow_CPL,E10_RawToday_CPL,E10_RawTomorrow_CPL,E85_RawToday_CPL,E85_RawTomorrow_CPL,LPG_RawToday_CPL,LPG_RawTomorrow_CPL,EquivalentUnleaded_RawToday_CPL,EquivalentUnleaded_RawTomorrow_CPL,AllDiesel_RawToday_CPL,AllDiesel_RawTomorrow_CPL,IsNTFleetOutlet,OutletWebsite,DataQualityStatus,DataQualityNotes,SourceURL,SourceMethod
2026-08-05,2026-08-05 07:35:38,UNITED ACACIA HILLS PIEFACE & ROADHOUSE,3760 Stuart Highway,ACACIA HILLS,0822,NT,2,131.12208,-12.799117,UN,UN,70,08220070,True,True,254.9,2.549,,,,,214.9,2.149,,,230.9,2.309,,,,,,,,,,,,,254.9,2.549,,,,,214.9,2.149,,,230.9,2.309,,,,,,,,,,,,,True,True,,,,,True,True,,,True,True,,,,,,,,,,,,,3,3,"DL, P95, U91","DL, P95, U91",U91,Unleaded 91,214.9,2.149,254.9,254.9,,,,,214.9,214.9,,,230.9,230.9,,,,,,,,,,,,,False,https://www.unitedpetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,Adelaide River Shell,105 Stuart Highway,ADELAIDE RIVER,0846,NT,1,131.10611,-13.23891,SH,SH,164,08460164,True,True,258.9,2.589,,,,,,,219.9,2.199,229.9,2.299,,,,,,,,,,,,,258.9,2.589,,,,,,,219.9,2.199,229.9,2.299,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,219.9,2.199,258.9,258.9,,,,,,,219.9,219.9,229.9,229.9,,,,,,,,,,,,,False,,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,BP Alice Springs Truckstop,44a (North) Stuart Hwy,ALICE SPRINGS,0870,NT,4,133.878276,-23.693574,BP,BP,158,08700158,True,True,255.9,2.559,,,,,,,229.9,2.299,239.9,2.399,251.9,2.519,,,,,189.9,1.899,,,,,255.9,2.559,,,,,,,229.9,2.299,239.9,2.399,251.9,2.519,,,,,189.9,1.899,,,,,True,True,,,,,,,True,True,True,True,True,True,,,,,True,True,,,,,5,5,"DL, LAF, LPG, P95, P98","DL, LAF, LPG, P95, P98",LPG,LPG,189.9,1.899,255.9,255.9,,,,,,,229.9,229.9,239.9,239.9,251.9,251.9,,,,,189.9,189.9,,,,,False,http://rechargepetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,BP Gap Road,73 Gap Road,ALICE SPRINGS,0870,NT,4,133.872582,-23.716921,BP,BP,159,08700159,True,True,261.9,2.6189999999999998,,,,,,,229.9,2.299,239.9,2.399,251.9,2.519,,,,,,,,,,,261.9,2.6189999999999998,,,,,,,229.9,2.299,239.9,2.399,251.9,2.519,,,,,,,,,,,True,True,,,,,,,True,True,True,True,True,True,,,,,,,,,,,4,4,"DL, LAF, P95, P98","DL, LAF, P95, P98",LAF,Low Aromatic Fuel,229.9,2.299,261.9,261.9,,,,,,,229.9,229.9,239.9,239.9,251.9,251.9,,,,,,,,,,,False,www.rechargepetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,BP Sadadeen,70 Spearwood Road,ALICE SPRINGS,0870,NT,4,133.899943,-23.700637,BP,BP,160,08700160,True,True,261.9,2.6189999999999998,,,,,,,229.9,2.299,239.9,2.399,,,,,,,,,,,,,261.9,2.6189999999999998,,,,,,,229.9,2.299,239.9,2.399,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,229.9,2.299,261.9,261.9,,,,,,,229.9,229.9,239.9,239.9,,,,,,,,,,,,,False,http://rechargepetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,Independent JERVOIS STATION,13381 Plenty Highway via,ALICE SPRINGS,0872,NT,4,136.142942,-22.951033,IN,CA,155,08720155,True,True,300.0,3.0,,,,,280.0,2.8,,,290.0,2.9,,,,,,,,,,,,,300.0,3.0,,,,,280.0,2.8,,,290.0,2.9,,,,,,,,,,,,,True,True,,,,,True,True,,,True,True,,,,,,,,,,,,,3,3,"DL, P95, U91","DL, P95, U91",U91,Unleaded 91,280.0,2.8,300.0,300.0,,,,,280.0,280.0,,,290.0,290.0,,,,,,,,,,,,,False,,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,Refuel Australia Truckstop Smith Street,Lot 913 Smith Street,ALICE SPRINGS,0870,NT,4,133.871034,-23.692967,AM,AM,191,08700191,True,True,256.8,2.568,,,,,,,,,,,,,,,,,,,,,,,256.8,2.568,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,1,1,DL,DL,DL,Diesel,256.8,2.568,256.8,256.8,,,,,,,,,,,,,,,,,,,,,,,False,https://refuelaus.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,Refuel Depot Ghan Road,16 Ghan Road,ALICE SPRINGS,0870,NT,4,133.871466,-23.693791,AM,AM,190,08700190,True,True,256.8,2.568,,,,,219.8,2.198,,,,,239.8,2.398,,,,,,,,,,,256.8,2.568,,,,,219.8,2.198,,,,,239.8,2.398,,,,,,,,,,,True,True,,,,,True,True,,,,,True,True,,,,,,,,,,,3,3,"DL, P98, U91","DL, P98, U91",U91,Unleaded 91,219.8,2.198,256.8,256.8,,,,,219.8,219.8,,,,,239.8,239.8,,,,,,,,,,,False,http://www.refuelaus.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,SHELL REDDY EXPRESS ALICE SPRINGS GAP RD,2 BAGOT ST (CNR GAP RD),ALICE SPRINGS,0870,NT,4,133.878905,-23.707372,C3,C3,35,08700035,True,True,264.9,2.6489999999999996,,,,,,,232.9,2.329,250.4,2.504,,,,,,,,,,,,,264.9,2.6489999999999996,,,,,,,232.9,2.329,250.4,2.504,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,232.9,2.329,264.9,264.9,,,,,,,232.9,232.9,250.4,250.4,,,,,,,,,,,,,False,https://www.colesexpress.com.au/,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-08-05,2026-08-05 07:35:38,SHELL REDDY EXPRESS ALICE SPRINGS MT GILLEN,6 LARAPINTA DRIVE,ALICE SPRINGS,0870,NT,4,133.871468,-23.701117,C3,C3,36,08700036,True,True,264.9,2.6489999999999996,,,,,,,232.9,2.329,250.4,2.504,,,,,,,,,,,,,264.9,2.6489999999999996,,,,,,,232.9,2.329,250.4,2.504,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,232.9,2.329,264.9,264.9,,,,,,,232.9,232.9,250.4,250.4,,,,,,,,,,,,,False,,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
